구분,홈페이지명,URL,IP,,
교육지원청,가평교육지원청,https://www.goegp.kr,121.136.83.65,,
교육지원청,고양교육지원청,https://www.goegy.kr,121.136.83.89,,
교육지원청,광명교육지원청,https://www.goegm.kr,121.136.83.9,,
교육지원청,광주하남교육지원청,https://www.goegh.kr,121.136.83.45,,
교육지원청,구리남양주교육지원청,https://www.goegn.kr,121.136.83.21,,
교육지원청,군포의왕교육지원청,https://www.goegu.kr,121.136.83.93,,
교육지원청,김포교육지원청,https://www.gpoe.kr,121.136.83.69,,
교육지원청,동두천양주교육지원청,https://www.goedy.kr,121.136.83.53,,
교육지원청,부천교육지원청,https://www.goebc.kr,121.136.83.49,,
교육지원청,성남교육지원청,https://www.goesn.kr,121.136.83.57,,
교육지원청,수원교육지원청,https://www.goesw.kr,121.136.83.41,,
교육지원청,시흥교육지원청,https://www.goesh.kr,121.136.83.97,,
교육지원청,안산교육지원청,https://www.goeas.kr,121.136.83.25,,
교육지원청,안성교육지원청,https://www.goean.kr,121.136.83.13,,
교육지원청,안양과천교육지원청,https://www.goeay.kr,121.136.83.81,,
교육지원청,양평교육지원청,https://www.goeyp.kr,121.136.83.73,,
교육지원청,여주교육지원청,https://www.goeyj.kr,121.136.83.29,,
교육지원청,연천교육지원청,https://www.goeyc.kr,121.136.83.37,,
교육지원청,용인교육지원청,https://www.goeyi.kr,121.136.83.17,,
교육지원청,의정부교육지원청,https://www.goeujb.kr,121.136.83.5,,
교육지원청,이천교육지원청,https://www.goeic.kr,121.136.83.101,,https://www.goeic.kr
교육지원청,파주교육지원청,https://www.goepj.kr,121.136.83.85,,
교육지원청,평택교육지원청,https://www.goept.kr,121.136.83.33,,
교육지원청,포천교육지원청,https://www.goepc.kr,121.136.83.77,,
교육지원청,화성오산교육지원청,https://www.goehs.kr,121.136.83.61,,
본청/직속기관,경기도교육청 (본청),https://www.goe.go.kr,210.104.161.233,,
본청/직속기관,경기도교육청남부연수원,https://www.gtie.go.kr,110.45.185.205,,
본청/직속기관,경기도교육청미래과학교육원,https://www.edugise.kr,27.101.224.120,,
본청/직속기관,경기도교육청학생교육원,https://www.goesei.or.kr,103.55.189.38,,
본청/직속기관,경기도교육청남부유아체험교육원,https://www.kench.kr,220.120.129.226,,
본청/직속기관,경기도교육청국제교육원,https://www.gige.go.kr,27.101.224.120,,
본청/직속기관,경기도교육청북부연수원,https://www.goenti.kr,27.101.224.120,,
본청/직속기관,경기도교육청중앙도서관,https://lib.goe.go.kr/gg,220.78.173.103,,
본청/직속기관,경기도교육청평생학습관,https://lib.goe.go.kr/gglec,220.78.173.103,,
본청/직속기관,경기도교육정보기록원,http://www.goeia.go.kr,210.104.161.220,,
본청/직속기관,경기도교육복지종합센터,https://www.gew.kr,211.51.255.34,,https://www.gew.kr
본청/직속기관,경기도교육청안전교육관,https://www.goese.kr,211.185.51.1,,
본청/직속기관,경기도교육청북부유아체험교육원,https://www.goe-aha.kr,210.104.161.222,,
본청/직속기관,경기도교육청미디어교육센터,https://www.goemec.kr,220.78.188.209,,